Tab,ident,lat,long
WAYPOINT,A001W,71.25630188,-156.8675385
WAYPOINT,A001E,71.26295471,-156.3726501
WAYPOINT,A002W,71.16913605,-157.0372162
WAYPOINT,A002E,71.1847229,-155.7168274
WAYPOINT,A003W,71.08189392,-157.1903687
WAYPOINT,A003E,71.10240936,-155.5206604
WAYPOINT,A004W,70.99390411,-157.3787842
WAYPOINT,A004E,71.01651764,-155.5977631
WAYPOINT,A005W,71.0190506,-155.1679382
WAYPOINT,A005E,71.02248383,-154.6202545
WAYPOINT,A006W,70.90375519,-157.667572
WAYPOINT,A006E,70.92868805,-155.9818268
WAYPOINT,A007W,70.93245697,-155.5070953
WAYPOINT,A007E,70.93782806,-154.6091614
WAYPOINT,A008W,70.90454102,-153.3251495
WAYPOINT,A008E,70.9036026,-153.0185699
WAYPOINT,A009W,70.86355591,-153.9417114
WAYPOINT,A009E,70.85549164,-152.3894501
WAYPOINT,A0010W,70.76916504,-159.7084198
WAYPOINT,A0010E,70.79260254,-158.8872375
WAYPOINT,A0011W,70.80432129,-158.3786011
WAYPOINT,A0011E,70.84501648,-155.9397583
WAYPOINT,A0012W,70.84708405,-155.6030884
WAYPOINT,A0012E,70.85327911,-154.5980682
WAYPOINT,A0013W,70.82067871,-153.9947968
WAYPOINT,A0013E,70.8117981,-152.2038574
WAYPOINT,A0014W,70.77884674,-154.3441772
WAYPOINT,A0014E,70.77101135,-152.3070068
WAYPOINT,A0015W,70.6753006,-159.9547882
WAYPOINT,A0015E,70.76825714,-154.3544006
WAYPOINT,A0016W,70.73697662,-154.4240723
WAYPOINT,A0016E,70.72866821,-152.3932953
WAYPOINT,A0017W,70.69382477,-154.5429077
WAYPOINT,A0017E,70.69429779,-153.969635
WAYPOINT,A0018W,70.69391632,-153.4304199
WAYPOINT,A0018E,70.68747711,-152.4171448
WAYPOINT,A0019W,70.58444977,-160.1639252
WAYPOINT,A0019E,70.68321228,-154.558197
WAYPOINT,A0020W,70.65132141,-154.6121674
WAYPOINT,A0020E,70.65200043,-154.0235901
WAYPOINT,A0021W,70.64932251,-153.1367493
WAYPOINT,A0021E,70.64464569,-152.4606934
WAYPOINT,A0022W,70.60895538,-154.6232452
WAYPOINT,A0022E,70.60967255,-154.0239563
WAYPOINT,A0023W,70.60638428,-153.0005188
WAYPOINT,A0023E,70.60079956,-152.2907562
WAYPOINT,A0024W,70.49050903,-160.4071808
WAYPOINT,A0024E,70.59801483,-154.7348938
WAYPOINT,A0025W,70.56628418,-154.7290802
WAYPOINT,A0025E,70.56745911,-154.1355438
WAYPOINT,A0026W,70.56385803,-152.9063873
WAYPOINT,A0026E,70.55535889,-151.9253235
WAYPOINT,A0027W,70.5239563,-154.8006287
WAYPOINT,A0027E,70.52483368,-154.039032
WAYPOINT,A0028W,70.52230072,-153.0826569
WAYPOINT,A0028E,70.51010132,-151.7215271
WAYPOINT,A0029W,70.3950882,-160.686615
WAYPOINT,A0029E,70.48323822,-157.4780273
WAYPOINT,A0030W,70.4852066,-157.3700409
WAYPOINT,A0030E,70.51277161,-154.8804932
WAYPOINT,A0031W,70.48448181,-150.7928925
WAYPOINT,A0031E,70.47555542,-150.3452454
WAYPOINT,A0032W,70.46871185,-149.9860535
WAYPOINT,A0032E,70.4433136,-149.0112915
WAYPOINT,A0033W,70.48119354,-154.8377075
WAYPOINT,A0033E,70.48266602,-153.9619293
WAYPOINT,A0034W,70.48112488,-153.4351196
WAYPOINT,A0034E,70.47058868,-151.9220276
WAYPOINT,A0035W,70.43870544,-154.8743134
WAYPOINT,A0035E,70.42115784,-151.409317
WAYPOINT,A0036W,70.25763702,-161.9735565
WAYPOINT,A0036E,70.26834106,-161.7450714
WAYPOINT,A0037W,70.29444122,-161.0996704
WAYPOINT,A0037E,70.42806244,-154.8858337
WAYPOINT,A0038W,70.40698242,-151.1902618
WAYPOINT,A0038E,70.37919617,-149.80513
WAYPOINT,A0039W,70.37136841,-149.4911499
WAYPOINT,A0039E,70.34140778,-148.4598389
WAYPOINT,A0040W,70.39624023,-154.9003754
WAYPOINT,A0040E,70.3730545,-151.0814209
WAYPOINT,A0041W,70.28620148,-160.1355896
WAYPOINT,A0041E,70.29717255,-159.7999573
WAYPOINT,A0042W,70.07963562,-143.5876465
WAYPOINT,A0042E,70.02326965,-142.674408
WAYPOINT,A0043W,70.35327911,-155.0270844
WAYPOINT,A0043E,70.33104706,-151.1014252
WAYPOINT,A0044W,70.16483307,-162.1542358
WAYPOINT,A0044E,70.23487854,-160.3889313
WAYPOINT,A0045W,70.25728607,-159.7145691
WAYPOINT,A0045E,70.34254456,-155.0550232
WAYPOINT,A0046W,70.32073975,-151.1179352
WAYPOINT,A0046E,70.30919647,-150.4838867
WAYPOINT,A0047W,70.29003143,-150.5867004
WAYPOINT,A0047E,70.23639679,-148.4516296
WAYPOINT,A0048W,70.2326355,-148.3321991
WAYPOINT,A0048E,70.21222687,-147.7234497
WAYPOINT,A0049W,70.31299591,-154.5727692
WAYPOINT,A0049E,70.31401825,-154.2874298
WAYPOINT,A0050W,70.30770111,-152.7660828
WAYPOINT,A0050E,70.28939819,-151.1439209
WAYPOINT,A0051W,70.06906891,-162.3512268
WAYPOINT,A0051E,70.10529327,-161.5389099
WAYPOINT,A0052W,70.17530823,-159.6138458
WAYPOINT,A0052E,70.20095825,-158.7088318
WAYPOINT,A0053W,70.21964264,-157.9156342
WAYPOINT,A0053E,70.25418854,-155.5865326
WAYPOINT,A0054W,70.16033936,-156.4334564
WAYPOINT,A0054E,70.16568756,-155.9825897
WAYPOINT,A0055W,70.13683319,-156.602829
WAYPOINT,A0055E,70.14043427,-156.3772736
WAYPOINT,A0056W,70.14354706,-156.1013031
WAYPOINT,A0056E,70.12345123,-150.735321
WAYPOINT,A0057W,70.09789276,-149.5707703
WAYPOINT,A0057E,70.07865143,-148.8645325
WAYPOINT,A0058W,70.03723145,-147.6252747
WAYPOINT,A0058E,70.02388,-147.2451324
WAYPOINT,A0059W,69.93242645,-162.5490417
WAYPOINT,A0059E,69.97131348,-161.6766663
WAYPOINT,A0060W,70.09473419,-157.8157806
WAYPOINT,A0060E,70.11631012,-156.6046295
WAYPOINT,A0061W,70.05956268,-148.9371643
WAYPOINT,A0061E,70.04069519,-148.3284149
WAYPOINT,A0062W,70.0326767,-148.0775452
WAYPOINT,A0062E,69.97278595,-146.5104523
WAYPOINT,A0063W,69.86865234,-144.3825378
WAYPOINT,A0063E,69.84664154,-143.9920044
WAYPOINT,A0064W,69.82931519,-143.6953735
WAYPOINT,A0064E,69.81191254,-143.4059448
WAYPOINT,A0065W,69.97136688,-156.2920227
WAYPOINT,A0065E,69.95361328,-150.7136078
WAYPOINT,A0066W,69.65049744,-163.021225
WAYPOINT,A0066E,69.71867371,-161.5745087
WAYPOINT,A0067W,69.72488403,-161.4281158
WAYPOINT,A0067E,69.75439453,-160.7060089
WAYPOINT,A0068W,69.86209869,-156.5383453
WAYPOINT,A0068E,69.86954498,-155.9321289
WAYPOINT,A0069W,69.87688446,-155.0063477
WAYPOINT,A0069E,69.87915802,-154.6235046
WAYPOINT,A0070W,69.87480164,-152.9213104
WAYPOINT,A0070E,69.84801483,-150.6828461
WAYPOINT,A0071W,69.82324219,-149.6063232
WAYPOINT,A0071E,69.79608917,-148.6368561
WAYPOINT,A0072W,69.38985443,-163.1016693
WAYPOINT,A0072E,69.42189026,-162.4683685
WAYPOINT,A0073W,69.62343597,-154.854248
WAYPOINT,A0073E,69.62252808,-153.0712585
WAYPOINT,A0074W,69.60641479,-151.4799042
WAYPOINT,A0074E,69.59448242,-150.7658997
WAYPOINT,A0075W,69.58615875,-150.3489532
WAYPOINT,A0075E,69.57598877,-149.8566589
